net,length_um
_00177_,10.62µm
_04731_,10.62µm
_07688_,10.62µm
_07938_,10.62µm
_09151_,10.62µm
_10344_,10.62µm
_17418_,10.62µm
_18309_,10.62µm
_20560_,10.62µm
_20731_,10.62µm
_21160_,10.62µm
_21365_,10.62µm
_22726_,10.62µm
u_ctrl.u_task_table.deadline_mem\[12\]\[11\],10.62µm
u_ctrl.u_task_table.deadline_mem\[2\]\[14\],10.62µm
u_ctrl.u_task_table.deadline_mem\[2\]\[4\],10.62µm
u_ctrl.u_task_table.deadline_mem\[2\]\[6\],10.62µm
u_ctrl.u_task_table.deadline_mem\[9\]\[13\],10.62µm
u_ctrl.u_task_table.remaining_wcet_mem\[0\]\[13\],10.62µm
u_ctrl.u_task_table.remaining_wcet_mem\[11\]\[5\],10.62µm
u_ctrl.u_task_table.wcet_mem\[4\]\[4\],10.62µm
u_uart_apb.u_cmd_parser.byte_cnt\[1\],10.62µm
net1264,10.62µm
net1903,10.62µm
u_ctrl.u_task_table.wcet_mem\[2\]\[1\],10.615µm
u_ctrl.u_task_table.deadline_mem\[9\]\[7\],10.605µm
_07500_,10.6µm
_10210_,10.6µm
_13679_,10.6µm
_17321_,10.6µm
_19625_,10.6µm
_20240_,10.6µm
apb_paddr\[4\],10.6µm
u_ctrl.u_task_table.deadline_mem\[2\]\[5\],10.6µm
u_ctrl.u_task_table.priority_mem\[8\]\[0\],10.6µm
u_ctrl.u_task_table.status_mem\[9\]\[0\],10.6µm
u_ctrl.u_task_table.wcet_mem\[11\]\[2\],10.6µm
_00302_,10.58µm
_00591_,10.58µm
_04626_,10.58µm
_04693_,10.58µm
_04763_,10.58µm
_06794_,10.58µm
_07091_,10.58µm
_11351_,10.58µm
_11956_,10.58µm
_12005_,10.58µm
_12157_,10.58µm
_16462_,10.58µm
_17370_,10.58µm
_19116_,10.58µm
_21173_,10.58µm
_22130_,10.58µm
_23121_,10.58µm
u_ctrl.u_task_table.remaining_wcet_mem\[14\]\[10\],10.58µm
u_sq.cnt_mem\[3\]\[24\],10.58µm
_06939_,10.56µm
_12239_,10.56µm
_22301_,10.56µm
_00638_,10.54µm
_03195_,10.54µm
_03614_,10.54µm
_05542_,10.54µm
_07043_,10.54µm
_08384_,10.54µm
_09337_,10.54µm
_10898_,10.54µm
_12390_,10.54µm
_13417_,10.54µm
_13427_,10.54µm
_16964_,10.54µm
_17344_,10.54µm
_18149_,10.54µm
_18521_,10.54µm
_19430_,10.54µm
_21584_,10.54µm
_22105_,10.54µm
u_ctrl.u_task_table.remaining_wcet_mem\[6\]\[11\],10.54µm
u_sq.cnt_mem\[7\]\[22\],10.54µm
u_uart_apb.u_uart_rx.bit_cnt\[2\],10.54µm
_03618_,10.52µm
_05260_,10.52µm
_14448_,10.52µm
_18898_,10.52µm
u_ctrl.u_task_table.abs_deadline_mem\[10\]\[10\],10.52µm
u_ctrl.u_task_table.abs_deadline_mem\[11\]\[3\],10.52µm
u_ctrl.u_task_table.abs_deadline_mem\[7\]\[10\],10.52µm
u_ctrl.u_task_table.wcet_mem\[5\]\[0\],10.52µm
u_sq.cnt_mem\[3\]\[27\],10.52µm
_04235_,10.5µm
_04529_,10.5µm
_05161_,10.5µm
_07214_,10.5µm
_07685_,10.5µm
_12523_,10.5µm
_14413_,10.5µm
_16582_,10.5µm
_19140_,10.5µm
_19769_,10.5µm
_20176_,10.5µm
_20309_,10.5µm
_21010_,10.5µm
cmd_word\[7\],10.5µm
u_ctrl.u_task_table.abs_deadline_mem\[6\]\[9\],10.5µm
u_ctrl.u_task_table.wcet_mem\[12\]\[9\],10.5µm
u_ctrl.u_task_table.wcet_mem\[13\]\[7\],10.5µm
_11907_,10.495µm
_04208_,10.48µm
_12008_,10.48µm
_22998_,10.48µm
u_uart_apb.u_cmd_parser.timeout_cnt\[22\],10.48µm
u_uart_apb.u_resp_builder.data_reg\[24\],10.48µm
_14406_,10.47µm
_00710_,10.465µm
_03080_,10.46µm
_03645_,10.46µm
_03666_,10.46µm
_04434_,10.46µm
_04515_,10.46µm
_06689_,10.46µm
_07776_,10.46µm
_17322_,10.46µm
_17695_,10.46µm
_17782_,10.46µm
_18140_,10.46µm
_22489_,10.46µm
u_ctrl.u_task_table.priority_mem\[14\]\[0\],10.46µm
u_ctrl.u_task_table.status_mem\[4\]\[1\],10.46µm
u_ctrl.u_task_table.wcet_mem\[1\]\[3\],10.455µm
_20543_,10.45µm
_08148_,10.44µm
_08517_,10.44µm
u_ctrl.u_task_table.remaining_wcet_mem\[5\]\[1\],10.44µm
u_ctrl.u_task_table.wcet_mem\[1\]\[2\],10.44µm
_08164_,10.42µm
_12793_,10.42µm
_14686_,10.42µm
_15854_,10.42µm
_22543_,10.42µm
_22602_,10.42µm
u_ctrl.u_task_table.remaining_wcet_mem\[15\]\[3\],10.42µm
u_ctrl.u_task_table.deadline_mem\[3\]\[9\],10.405µm
_02071_,10.4µm
_03682_,10.4µm
_06927_,10.4µm
_09797_,10.4µm
_13799_,10.4µm
_15040_,10.4µm
_19799_,10.4µm
u_ctrl.u_task_table.deadline_mem\[11\]\[7\],10.4µm
u_ctrl.u_task_table.period_mem\[13\]\[9\],10.4µm
u_ctrl.u_task_table.remaining_wcet_mem\[14\]\[11\],10.4µm
u_ctrl.u_task_table.remaining_wcet_mem\[9\]\[2\],10.4µm
u_ctrl.u_task_table.wcet_mem\[0\]\[8\],10.4µm
u_ctrl.u_task_table.wcet_mem\[4\]\[11\],10.4µm
u_sq.cnt_mem\[15\]\[13\],10.4µm
u_ctrl.u_task_table.abs_deadline_mem\[9\]\[10\],10.385µm
_01271_,10.38µm
_03860_,10.38µm
_04209_,10.38µm
_06279_,10.38µm
_06490_,10.38µm
_09078_,10.38µm
_10171_,10.38µm
_16724_,10.38µm
_19436_,10.38µm
_21186_,10.38µm
_21420_,10.38µm
_21654_,10.38µm
u_ctrl.u_task_table.remaining_wcet_mem\[6\]\[6\],10.38µm
u_ctrl.u_task_table.wcet_mem\[2\]\[15\],10.38µm
u_sq.cnt_mem\[15\]\[18\],10.38µm
u_uart_apb.u_resp_builder.data_reg\[1\],10.38µm
_03966_,10.36µm
_05267_,10.36µm
_08100_,10.36µm
_12627_,10.36µm
_13448_,10.36µm
_16519_,10.36µm
u_ctrl.u_task_table.deadline_mem\[15\]\[6\],10.36µm
u_ctrl.u_task_table.period_mem\[4\]\[6\],10.36µm
u_ctrl.u_task_table.remaining_wcet_mem\[12\]\[11\],10.36µm
_03250_,10.34µm
_03307_,10.34µm
_04190_,10.34µm
_04599_,10.34µm
_04773_,10.34µm
_04896_,10.34µm
_05373_,10.34µm
_07480_,10.34µm
_07502_,10.34µm
_08160_,10.34µm
_11525_,10.34µm
_12792_,10.34µm
_15250_,10.34µm
_15723_,10.34µm
_15774_,10.34µm
_18928_,10.34µm
_21078_,10.34µm
u_ctrl.tt_wr_remaining_wcet\[6\],10.34µm
u_sq.cnt_mem\[5\]\[29\],10.34µm
u_uart_apb.u_cmd_parser.timeout_cnt\[19\],10.34µm
sq_wake_id\[0\],10.325µm
_00561_,10.32µm
_04637_,10.32µm
_04707_,10.32µm
_06856_,10.32µm
_07700_,10.32µm
_08859_,10.32µm
_09365_,10.32µm
_09609_,10.32µm
_10645_,10.32µm
_11368_,10.32µm
_12314_,10.32µm
_12963_,10.32µm
_13544_,10.32µm
_13820_,10.32µm
_13914_,10.32µm
_14476_,10.32µm
_15894_,10.32µm
_16126_,10.32µm
_18771_,10.32µm
_19792_,10.32µm
_19849_,10.32µm
_20042_,10.32µm
_20281_,10.32µm
_21862_,10.32µm
_08565_,10.31µm
_22670_,10.31µm
_03553_,10.305µm
_05092_,10.3µm
_07580_,10.3µm
_18079_,10.3µm
_19426_,10.3µm
_20287_,10.3µm
_21913_,10.3µm
_23109_,10.3µm
u_ctrl.u_task_table.deadline_mem\[7\]\[6\],10.3µm
u_sq.cnt_mem\[10\]\[12\],10.3µm
u_sq.cnt_mem\[7\]\[0\],10.3µm
_14112_,10.295µm
_07885_,10.28µm
_10812_,10.28µm
_13044_,10.28µm
_16512_,10.28µm
_16535_,10.28µm
_21106_,10.28µm
_22472_,10.28µm
u_ctrl.u_task_table.abs_deadline_mem\[1\]\[15\],10.28µm
u_ctrl.u_task_table.deadline_mem\[1\]\[11\],10.28µm
u_ctrl.u_task_table.period_mem\[5\]\[12\],10.28µm
u_ctrl.u_task_table.period_mem\[7\]\[4\],10.28µm
u_ctrl.u_task_table.remaining_wcet_mem\[4\]\[3\],10.28µm
u_ctrl.u_task_table.remaining_wcet_mem\[7\]\[1\],10.28µm
u_ctrl.u_task_table.wcet_mem\[12\]\[5\],10.28µm
u_ctrl.u_task_table.wcet_mem\[2\]\[0\],10.28µm
u_sq.cnt_mem\[4\]\[3\],10.28µm
u_sq.cnt_mem\[7\]\[11\],10.28µm
u_uart_apb.u_baud_gen.counter\[5\],10.28µm
u_uart_apb.u_resp_builder.data_reg\[21\],10.275µm
_05678_,10.26µm
_11934_,10.26µm
_12547_,10.26µm
_14024_,10.26µm
_15627_,10.26µm
_15936_,10.26µm
_18519_,10.26µm
_19252_,10.26µm
_22210_,10.26µm
_03231_,10.24µm
_05816_,10.24µm
_06600_,10.24µm
_07233_,10.24µm
_11938_,10.24µm
_12907_,10.24µm
_13163_,10.24µm
_13522_,10.24µm
_15038_,10.24µm
_15395_,10.24µm
_18443_,10.24µm
_21640_,10.24µm
_23080_,10.24µm
u_ctrl.u_task_table.deadline_mem\[11\]\[5\],10.24µm
u_ctrl.u_task_table.deadline_mem\[5\]\[8\],10.24µm
u_ctrl.u_task_table.period_mem\[10\]\[7\],10.24µm
u_sq.cnt_mem\[4\]\[20\],10.24µm
_01211_,10.22µm
_11774_,10.22µm
_13135_,10.22µm
u_ctrl.u_task_table.deadline_mem\[9\]\[14\],10.22µm
u_scan.scan_reg\[50\],10.22µm
_00971_,10.2µm
_03640_,10.2µm
_03776_,10.2µm
_03948_,10.2µm
_03991_,10.2µm
_05235_,10.2µm
_06359_,10.2µm
_08115_,10.2µm
_12642_,10.2µm
_12715_,10.2µm
_13407_,10.2µm
_13661_,10.2µm
_16522_,10.2µm
_18411_,10.2µm
_20953_,10.2µm
_22953_,10.2µm
u_uart_apb.u_cmd_parser.timeout_cnt\[4\],10.2µm
_20544_,10.19µm
_07181_,10.18µm
_13372_,10.18µm
_14459_,10.18µm
_16727_,10.18µm
_20346_,10.18µm
_21847_,10.18µm
u_ctrl.u_task_table.abs_deadline_mem\[13\]\[2\],10.18µm
u_ctrl.u_task_table.abs_deadline_mem\[5\]\[12\],10.18µm
_21691_,10.17µm
_03549_,10.16µm
_03804_,10.16µm
_04877_,10.16µm
_05415_,10.16µm
_06287_,10.16µm
_06407_,10.16µm
_07513_,10.16µm
_11174_,10.16µm
_12232_,10.16µm
_13382_,10.16µm
_13390_,10.16µm
_13636_,10.16µm
_21532_,10.16µm
_21834_,10.16µm
_21939_,10.16µm
u_ctrl.u_task_table.deadline_mem\[0\]\[9\],10.16µm
u_ctrl.u_task_table.deadline_mem\[7\]\[14\],10.16µm
u_ctrl.u_task_table.period_mem\[1\]\[9\],10.16µm
u_ctrl.u_task_table.remaining_wcet_mem\[13\]\[12\],10.16µm
u_ctrl.u_task_table.wcet_mem\[3\]\[4\],10.16µm
u_ctrl.u_task_table.abs_deadline_mem\[15\]\[0\],10.155µm
u_ctrl.u_task_table.remaining_wcet_mem\[8\]\[6\],10.155µm
_07918_,10.14µm
_14444_,10.14µm
_17184_,10.14µm
_18495_,10.14µm
_22554_,10.14µm
u_ctrl.u_task_table.remaining_wcet_mem\[1\]\[9\],10.14µm
u_ctrl.u_task_table.wcet_mem\[9\]\[12\],10.135µm
u_uart_apb.u_resp_builder.data_reg\[22\],10.135µm
_04899_,10.12µm
_05312_,10.12µm
_05882_,10.12µm
_07879_,10.12µm
_08826_,10.12µm
_08916_,10.12µm
_13099_,10.12µm
_16986_,10.12µm
_21416_,10.12µm
u_ctrl.u_task_table.abs_deadline_mem\[4\]\[9\],10.12µm
u_ctrl.u_task_table.period_mem\[4\]\[12\],10.12µm
u_ctrl.u_task_table.remaining_wcet_mem\[10\]\[1\],10.12µm
_08239_,10.105µm
u_ctrl.u_task_table.period_mem\[15\]\[0\],10.105µm
_06919_,10.1µm
_07143_,10.1µm
_16505_,10.1µm
_18674_,10.1µm
_19254_,10.1µm
_20210_,10.1µm
u_ctrl.u_task_table.deadline_mem\[5\]\[4\],10.1µm
u_uart_apb.u_resp_builder.data_reg\[28\],10.1µm
u_ctrl.u_task_table.wcet_mem\[9\]\[3\],10.085µm
_00530_,10.08µm
_07049_,10.08µm
_12038_,10.08µm
_13557_,10.08µm
_17139_,10.08µm
_17382_,10.08µm
_17742_,10.08µm
_19281_,10.08µm
_20814_,10.08µm
u_ctrl.u_task_table.deadline_mem\[6\]\[9\],10.08µm
u_ctrl.u_task_table.remaining_wcet_mem\[14\]\[6\],10.08µm
_21934_,10.075µm
u_ctrl.u_task_table.remaining_wcet_mem\[4\]\[6\],10.065µm
_01670_,10.06µm
_05076_,10.06µm
_16686_,10.06µm
u_ctrl.u_task_table.abs_deadline_mem\[13\]\[15\],10.06µm
u_ctrl.u_task_table.abs_deadline_mem\[6\]\[10\],10.06µm
u_ctrl.u_task_table.abs_deadline_mem\[7\]\[1\],10.06µm
u_ctrl.u_task_table.period_mem\[0\]\[4\],10.06µm
_18474_,10.05µm
_03639_,10.04µm
_07524_,10.04µm
_14543_,10.04µm
_20196_,10.04µm
_21097_,10.04µm
_22926_,10.04µm
_23095_,10.04µm
u_ctrl.u_task_table.abs_deadline_mem\[10\]\[3\],10.04µm
u_ctrl.u_task_table.deadline_mem\[14\]\[4\],10.04µm
u_ctrl.u_task_table.deadline_mem\[6\]\[13\],10.04µm
u_ctrl.u_task_table.period_mem\[13\]\[1\],10.04µm
u_ctrl.u_task_table.remaining_wcet_mem\[10\]\[5\],10.04µm
_06216_,10.02µm
_19389_,10.02µm
_20634_,10.02µm
u_ctrl.u_task_table.abs_deadline_mem\[3\]\[15\],10.02µm
u_ctrl.u_task_table.abs_deadline_mem\[9\]\[5\],10.02µm
u_ctrl.u_task_table.deadline_mem\[14\]\[5\],10.02µm
u_ctrl.u_task_table.period_mem\[10\]\[5\],10.02µm
u_ctrl.u_task_table.period_mem\[4\]\[1\],10.02µm
u_ctrl.u_task_table.wcet_mem\[15\]\[3\],10.02µm
_14877_,10.015µm
_05023_,10µm
_07415_,10µm
_07988_,10µm
_09862_,10µm
_12499_,10µm
_13927_,10µm
_14449_,10µm
_19492_,10µm
_20793_,10µm
_21659_,10µm
_21839_,10µm
_22872_,10µm
u_ctrl.u_task_table.wcet_mem\[2\]\[3\],10µm
_00783_,9.98µm
_06047_,9.98µm
_07095_,9.98µm
_10045_,9.98µm
_11151_,9.98µm
_13317_,9.98µm
_14467_,9.98µm
_19949_,9.98µm
_20099_,9.98µm
_21396_,9.98µm
u_ctrl.u_task_table.deadline_mem\[14\]\[1\],9.98µm
net1633,9.97µm
_01769_,9.96µm
_05703_,9.96µm
_07495_,9.96µm
_13063_,9.96µm
_13879_,9.96µm
_14830_,9.96µm
_17852_,9.96µm
_18709_,9.96µm
_21412_,9.96µm
net1900,9.96µm
u_ctrl.u_task_table.abs_deadline_mem\[15\]\[13\],9.945µm
_05604_,9.94µm
_08054_,9.94µm
_09521_,9.94µm
_10351_,9.94µm
_12624_,9.94µm
_12777_,9.94µm
_13139_,9.94µm
_15263_,9.94µm
_15337_,9.94µm
_16374_,9.94µm
_21515_,9.94µm
_21774_,9.94µm
sq_wake_valid,9.94µm
u_ctrl.u_task_table.remaining_wcet_mem\[10\]\[11\],9.94µm
u_ctrl.u_task_table.remaining_wcet_mem\[8\]\[13\],9.94µm
u_ctrl.u_task_table.wcet_mem\[3\]\[13\],9.94µm
u_scan.scan_reg\[149\],9.94µm
_14414_,9.93µm
_00675_,9.925µm
_04195_,9.92µm
_08473_,9.92µm
_09474_,9.92µm
_12774_,9.92µm
_13242_,9.92µm
_13325_,9.92µm
_19010_,9.92µm
_20598_,9.92µm
_21001_,9.92µm
_21342_,9.92µm
_22401_,9.92µm
u_ctrl.u_task_table.remaining_wcet_mem\[12\]\[1\],9.92µm
u_ctrl.u_task_table.remaining_wcet_mem\[5\]\[5\],9.92µm
u_ctrl.u_task_table.wcet_mem\[9\]\[14\],9.92µm
_00201_,9.9µm
_00323_,9.9µm
_00605_,9.9µm
_04290_,9.9µm
_06629_,9.9µm
_08183_,9.9µm
_12056_,9.9µm
_17204_,9.9µm
_18688_,9.9µm
_20047_,9.9µm
_22031_,9.9µm
u_ctrl.u_task_table.abs_deadline_mem\[15\]\[6\],9.9µm
u_ctrl.u_task_table.deadline_mem\[3\]\[4\],9.9µm
u_ctrl.u_task_table.remaining_wcet_mem\[6\]\[9\],9.9µm
u_ctrl.u_task_table.remaining_wcet_mem\[9\]\[9\],9.9µm
u_ctrl.u_task_table.wcet_mem\[15\]\[11\],9.9µm
u_uart_apb.u_resp_builder.data_reg\[29\],9.9µm
_22060_,9.895µm
_03671_,9.88µm
_04019_,9.88µm
_05005_,9.88µm
_06537_,9.88µm
_07591_,9.88µm
_07913_,9.88µm
_09312_,9.88µm
_10269_,9.88µm
_11727_,9.88µm
_13172_,9.88µm
_13695_,9.88µm
_13713_,9.88µm
_14222_,9.88µm
_15473_,9.88µm
_15592_,9.88µm
_15839_,9.88µm
_16403_,9.88µm
_16869_,9.88µm
_17338_,9.88µm
_17864_,9.88µm
_18400_,9.88µm
_18950_,9.88µm
_22679_,9.88µm
_03129_,9.86µm
_04756_,9.86µm
_06487_,9.86µm
_06814_,9.86µm
_11753_,9.86µm
_12297_,9.86µm
_13275_,9.86µm
_16134_,9.86µm
_16141_,9.86µm
_17708_,9.86µm
_18613_,9.86µm
_18980_,9.86µm
_19230_,9.86µm
_19989_,9.86µm
_21171_,9.86µm
_22736_,9.86µm
_22970_,9.86µm
u_scan.scan_reg\[219\],9.86µm
u_ctrl.u_task_table.deadline_mem\[15\]\[12\],9.845µm
u_ctrl.u_task_table.deadline_mem\[4\]\[9\],9.845µm
_00888_,9.84µm
_02420_,9.84µm
_06659_,9.84µm
_06941_,9.84µm
_11566_,9.84µm
_12964_,9.84µm
_20469_,9.84µm
_20665_,9.84µm
u_sq.cnt_mem\[0\]\[17\],9.84µm
u_sq.cnt_mem\[5\]\[18\],9.84µm
_16485_,9.83µm
_00296_,9.82µm
_00350_,9.82µm
_03800_,9.82µm
_06399_,9.82µm
_12863_,9.82µm
_20545_,9.82µm
_21822_,9.82µm
_22662_,9.82µm
u_ctrl.u_task_table.abs_deadline_mem\[11\]\[15\],9.82µm
u_ctrl.u_task_table.deadline_mem\[11\]\[10\],9.82µm
u_ctrl.u_task_table.deadline_mem\[11\]\[11\],9.82µm
u_ctrl.u_task_table.period_mem\[12\]\[10\],9.82µm
u_ctrl.u_task_table.priority_mem\[9\]\[3\],9.82µm
u_ctrl.u_task_table.remaining_wcet_mem\[9\]\[13\],9.82µm
u_ctrl.u_task_table.wcet_mem\[2\]\[7\],9.82µm
u_ctrl.u_task_table.wcet_mem\[3\]\[1\],9.82µm
u_ctrl.u_task_table.wcet_mem\[7\]\[13\],9.82µm
_03339_,9.8µm
_05830_,9.8µm
_06827_,9.8µm
_08799_,9.8µm
_11040_,9.8µm
_11832_,9.8µm
_12201_,9.8µm
_12504_,9.8µm
_12697_,9.8µm
_12930_,9.8µm
_12997_,9.8µm
_13592_,9.8µm
_14433_,9.8µm
_14593_,9.8µm
_14892_,9.8µm
_15226_,9.8µm
_15304_,9.8µm
_15328_,9.8µm
_15401_,9.8µm
_15829_,9.8µm
_15919_,9.8µm
_16014_,9.8µm
_16233_,9.8µm
_16317_,9.8µm
_16345_,9.8µm
_16566_,9.8µm
_17376_,9.8µm
_18200_,9.8µm
_18604_,9.8µm
_21635_,9.8µm
u_ctrl.u_task_table.deadline_mem\[10\]\[1\],9.8µm
u_ctrl.u_task_table.wcet_mem\[0\]\[6\],9.8µm
u_ctrl.u_task_table.wcet_mem\[5\]\[9\],9.8µm
_01031_,9.78µm
_03626_,9.78µm
_04697_,9.78µm
_04755_,9.78µm
_05262_,9.78µm
_10018_,9.78µm
_12280_,9.78µm
_12543_,9.78µm
_14089_,9.78µm
_14302_,9.78µm
_15098_,9.78µm
_15532_,9.78µm
_17205_,9.78µm
_17854_,9.78µm
_19111_,9.78µm
_19945_,9.78µm
_21463_,9.78µm
_22971_,9.78µm
u_ctrl.u_task_table.deadline_mem\[4\]\[8\],9.78µm
u_ctrl.u_task_table.period_mem\[14\]\[15\],9.78µm
u_ctrl.u_task_table.period_mem\[15\]\[6\],9.78µm
u_ctrl.u_task_table.wcet_mem\[11\]\[14\],9.78µm
_06131_,9.76µm
_12628_,9.76µm
_16440_,9.76µm
u_ctrl.u_task_table.abs_deadline_mem\[6\]\[5\],9.76µm
u_ctrl.u_task_table.remaining_wcet_mem\[4\]\[13\],9.76µm
u_ctrl.u_task_table.wcet_mem\[15\]\[5\],9.755µm
u_ctrl.u_task_table.abs_deadline_mem\[2\]\[15\],9.75µm
u_ctrl.u_task_table.abs_deadline_mem\[3\]\[14\],9.745µm
_01321_,9.74µm
_03603_,9.74µm
_05054_,9.74µm
_05372_,9.74µm
_06209_,9.74µm
_06656_,9.74µm
_08155_,9.74µm
_14427_,9.74µm
_16291_,9.74µm
_20177_,9.74µm
rsp_word\[17\],9.74µm
u_ctrl.u_task_table.deadline_mem\[11\]\[13\],9.74µm
u_ctrl.u_task_table.deadline_mem\[7\]\[9\],9.74µm
u_ctrl.u_task_table.period_mem\[6\]\[15\],9.74µm
u_ctrl.u_task_table.remaining_wcet_mem\[13\]\[8\],9.74µm
u_ctrl.u_task_table.remaining_wcet_mem\[4\]\[9\],9.74µm
u_ctrl.u_task_table.wcet_mem\[11\]\[5\],9.725µm
_05367_,9.72µm
_05577_,9.72µm
_08168_,9.72µm
_21805_,9.72µm
u_ctrl.u_task_table.wcet_mem\[12\]\[4\],9.72µm
u_ctrl.u_task_table.wcet_mem\[4\]\[8\],9.72µm
_21117_,9.715µm
_00552_,9.7µm
_04134_,9.7µm
_04837_,9.7µm
_04946_,9.7µm
_16718_,9.7µm
_19011_,9.7µm
_21075_,9.7µm
_22687_,9.7µm
u_ctrl.u_task_table.deadline_mem\[0\]\[11\],9.7µm
u_ctrl.u_task_table.deadline_mem\[0\]\[3\],9.7µm
u_ctrl.u_task_table.period_mem\[0\]\[11\],9.7µm
u_ctrl.u_task_table.priority_mem\[0\]\[3\],9.7µm
_09809_,9.68µm
_17144_,9.68µm
u_ctrl.u_task_table.remaining_wcet_mem\[0\]\[11\],9.68µm
u_ctrl.u_task_table.remaining_wcet_mem\[3\]\[9\],9.68µm
u_uart_apb.u_uart_rx.tick_cnt\[3\],9.68µm
u_ctrl.u_task_table.remaining_wcet_mem\[13\]\[13\],9.675µm
_20628_,9.67µm
_00459_,9.66µm
_01060_,9.66µm
_02712_,9.66µm
_04670_,9.66µm
_05726_,9.66µm
_07723_,9.66µm
_07958_,9.66µm
_09298_,9.66µm
_10519_,9.66µm
_11102_,9.66µm
_12951_,9.66µm
_12952_,9.66µm
_21722_,9.66µm
u_uart_apb.u_uart_rx.bit_cnt\[0\],9.66µm
_05215_,9.64µm
_06447_,9.64µm
_13571_,9.64µm
_18773_,9.64µm
u_ctrl.u_task_table.abs_deadline_mem\[1\]\[10\],9.64µm
u_ctrl.u_task_table.deadline_mem\[2\]\[10\],9.625µm
_03921_,9.62µm
_08806_,9.62µm
_10561_,9.62µm
_12916_,9.62µm
_13888_,9.62µm
_16924_,9.62µm
_19267_,9.62µm
_20912_,9.62µm
_20955_,9.62µm
_21542_,9.62µm
apb_paddr\[22\],9.62µm
u_ctrl.u_task_table.deadline_mem\[8\]\[2\],9.62µm
u_scan.scan_reg\[207\],9.62µm
u_sq.cnt_mem\[8\]\[0\],9.62µm
_04858_,9.6µm
_06905_,9.6µm
_07665_,9.6µm
_17156_,9.6µm
_18571_,9.6µm
_21581_,9.6µm
u_sq.cnt_mem\[10\]\[5\],9.6µm
u_sq.cnt_mem\[2\]\[4\],9.6µm
u_ctrl.u_task_table.abs_deadline_mem\[2\]\[12\],9.59µm
_04082_,9.58µm
_04505_,9.58µm
_10154_,9.58µm
_10209_,9.58µm
_13780_,9.58µm
_16632_,9.58µm
_17415_,9.58µm
_19238_,9.58µm
_19288_,9.58µm
_19292_,9.58µm
_19457_,9.58µm
_20510_,9.58µm
_20982_,9.58µm
_21077_,9.58µm
_21561_,9.58µm
_22126_,9.58µm
_22163_,9.58µm
_23017_,9.58µm
u_ctrl.u_task_table.period_mem\[14\]\[14\],9.58µm
u_ctrl.u_task_table.remaining_wcet_mem\[0\]\[14\],9.58µm
u_scan.scan_reg\[169\],9.58µm
u_sq.cnt_mem\[4\]\[26\],9.58µm
u_sq.cnt_mem\[7\]\[20\],9.58µm
u_ctrl.u_task_table.abs_deadline_mem\[15\]\[1\],9.575µm
_00870_,9.56µm
_01686_,9.56µm
_08045_,9.56µm
_17476_,9.56µm
_19307_,9.56µm
_20175_,9.56µm
_20462_,9.56µm
u_ctrl.u_task_table.abs_deadline_mem\[8\]\[9\],9.56µm
u_scan.scan_reg\[5\],9.56µm
u_sq.cnt_mem\[9\]\[17\],9.56µm
u_ctrl.u_task_table.abs_deadline_mem\[13\]\[8\],9.555µm
_00801_,9.54µm
_02797_,9.54µm
_03520_,9.54µm
_03564_,9.54µm
_03664_,9.54µm
_04847_,9.54µm
_06564_,9.54µm
_07156_,9.54µm
_10825_,9.54µm
_11356_,9.54µm
_11861_,9.54µm
_12475_,9.54µm
_14109_,9.54µm
_17185_,9.54µm
_19986_,9.54µm
_20417_,9.54µm
_20885_,9.54µm
_21694_,9.54µm
_22144_,9.54µm
_22242_,9.54µm
_22619_,9.54µm
u_uart_apb.u_resp_builder.data_reg\[6\],9.54µm
net1426,9.54µm
_13724_,9.53µm
net1054,9.53µm
u_ctrl.u_task_table.period_mem\[9\]\[6\],9.525µm
_00013_,9.52µm
_04152_,9.52µm
_04427_,9.52µm
_06415_,9.52µm
_11817_,9.52µm
_12347_,9.52µm
_12464_,9.52µm
_13684_,9.52µm
rsp_word\[19\],9.52µm
u_ctrl.u_task_table.abs_deadline_mem\[15\]\[11\],9.52µm
u_ctrl.u_task_table.period_mem\[3\]\[10\],9.52µm
u_ctrl.u_task_table.remaining_wcet_mem\[8\]\[10\],9.52µm
u_ctrl.u_task_table.wcet_mem\[0\]\[9\],9.52µm
u_ctrl.u_task_table.wcet_mem\[8\]\[4\],9.52µm
u_scan.scan_reg\[192\],9.52µm
u_ctrl.u_task_table.priority_mem\[10\]\[0\],9.505µm
u_ctrl.u_task_table.priority_mem\[7\]\[1\],9.505µm
_03531_,9.5µm
_04172_,9.5µm
_06926_,9.5µm
_13133_,9.5µm
_16433_,9.5µm
_18815_,9.5µm
_19826_,9.5µm
_20997_,9.5µm
_21604_,9.5µm
u_ctrl.u_task_table.remaining_wcet_mem\[5\]\[13\],9.5µm
u_ctrl.u_task_table.period_mem\[7\]\[5\],9.485µm
u_ctrl.u_task_table.wcet_mem\[15\]\[1\],9.485µm
_00460_,9.48µm
_00637_,9.48µm
_01222_,9.48µm
_04512_,9.48µm
_04583_,9.48µm
_06178_,9.48µm
_07369_,9.48µm
_07924_,9.48µm
_10103_,9.48µm
_11661_,9.48µm
_12363_,9.48µm
_12647_,9.48µm
_14968_,9.48µm
_16057_,9.48µm
_16515_,9.48µm
_19803_,9.48µm
_20151_,9.48µm
_20200_,9.48µm
_21937_,9.48µm
_22353_,9.48µm
u_ctrl.tick_count\[18\],9.48µm
u_ctrl.u_task_table.abs_deadline_mem\[14\]\[14\],9.48µm
