net,length_um
net645,452.83µm
_08800_,452.81µm
net173,451.61µm
net138,451.37µm
net725,451.29µm
net535,451.12µm
net622,451.08µm
net649,450.78µm
_19614_,450.24µm
_13232_,450.12µm
_09535_,449.94µm
_19617_,449.485µm
net516,449.31µm
_22321_,448.78µm
_15055_,448.46µm
_08769_,448.165µm
_20936_,448.1µm
_23057_,447.96µm
_19637_,447.32µm
_19527_,447.265µm
net657,447.17µm
net242,447.1µm
_19695_,446.68µm
_14745_,446.37µm
net458,446.26µm
_19597_,446.18µm
_13319_,446.055µm
net746,445.64µm
_21454_,444.75µm
clknet_5_3__leaf_clk,444.68µm
_08415_,444.34µm
_19768_,444.08µm
scan_parallel\[2\],443.93µm
_15861_,443.89µm
net455,443.65µm
_15052_,443.6µm
_15064_,443.5µm
_21192_,442.3µm
_19519_,441.99µm
net605,441.73µm
_15825_,441.28µm
net383,441.25µm
_19889_,441.17µm
net465,440.54µm
_10090_,440.18µm
_19565_,439.78µm
net659,439.46µm
net755,439.22µm
clknet_5_30__leaf_clk,439.18µm
_19598_,438.71µm
net607,438.65µm
net759,438.64µm
net321,438.265µm
net637,437.83µm
_08323_,436.155µm
_15897_,435.64µm
net618,435.27µm
_16591_,434.35µm
net384,433.585µm
net864,433.13µm
net609,432.84µm
net322,432.315µm
net517,432.29µm
net345,432.27µm
net740,432.21µm
_12866_,431.74µm
_19573_,431.24µm
net754,430.56µm
_19588_,430.17µm
_22320_,430.125µm
_11984_,429.89µm
_19523_,428.03µm
_19898_,427.86µm
net705,427.45µm
_16059_,426.5µm
net611,425.84µm
net115,425.76µm
net717,425.57µm
net249,425.24µm
_19585_,424.275µm
_09922_,424.19µm
_15951_,424.09µm
_12598_,424.06µm
net702,423.8µm
_09350_,423.5µm
_08731_,423.45µm
_22140_,423.4µm
net722,422.98µm
_12761_,422.94µm
_15067_,422.67µm
net178,422.44µm
net694,422.225µm
_19952_,422.07µm
net570,421.85µm
_11985_,421.705µm
_19659_,421.655µm
_19553_,421.61µm
net117,421.02µm
net116,420.835µm
_10017_,420.77µm
_08715_,420.75µm
net12,420.66µm
_19487_,420.595µm
_08534_,420.58µm
net757,420.54µm
_19685_,420.52µm
net135,419.87µm
net756,419.81µm
_19621_,419.575µm
_19631_,419.255µm
